"year","area","country","model_fleet","model_metier","stock","landings","fleet_type"
2020,"4","BE","BE_Beam<24","beam_oth.4","BLL",0.165,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","BLL",0.03588,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","BLL",0.20928,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",46.099,"main"
2010,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",24.675,"main"
2011,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",7.889,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",11.904,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",6.123,"main"
2014,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",4.379,"main"
2015,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",10.136,"main"
2016,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",4.167,"main"
2017,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.837,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.679,"main"
2019,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.3,"main"
2020,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.449,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.21356,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.68733,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","HAD",0.439,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","NEP5",0.005,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","NEPOTH-NS",0.001,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","NEPOTH-NS",3.393,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",2.345,"main"
2010,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",7.837,"main"
2011,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",14.631,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",13.437,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",8.814,"main"
2014,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",3.905,"main"
2015,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",5.597,"main"
2016,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",5.808,"main"
2017,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",5.161,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",8.204,"main"
2019,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",3.274,"main"
2020,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",2.997,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",2.72552,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",6.2641,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.681,"main"
2010,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.762,"main"
2011,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",4.699,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",5.556,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",6.974,"main"
2014,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",2.798,"main"
2015,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",2.703,"main"
2016,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.45,"main"
2017,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",2.129,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",4.755,"main"
2019,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.45,"main"
2020,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",10.284,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.14835,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",8.09819,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.758,"main"
2010,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.625,"main"
2011,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.638,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.815,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.557,"main"
2014,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.215,"main"
2015,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.478,"main"
2016,"4","BE","BE_Beam<24","beam_oth.4","TUR",2.249,"main"
2017,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.455,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.572,"main"
2019,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.218,"main"
2020,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.737,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.3988,"main"
