"Stock","Metier","Category","Value","col"
"bll.27.3a47de","TR1","Landings",29.8427661538462,"#b15928"
"cod.27.46a7d20","TR1","Landings",11484.9550967813,"#a6cee3"
"had.27.46a20","TR1","Landings",31211.2326360571,"#1f78b4"
"ple.27.7d","TR1","Landings",8.546305,"#b2df8a"
"ple.27.420","TR1","Landings",8171.13028354987,"#33a02c"
"pok.27.3a46","TR1","Landings",34751.2058013999,"#fb9a99"
"sol.27.4","TR1","Landings",10.9869324578,"#fdbf6f"
"sol.27.7d","TR1","Landings",0.40664,"#e31a1c"
"tur.27.4","TR1","Landings",272.214426868104,"#ff7f00"
"whg.27.47d","TR1","Landings",10415.6791039214,"#cab2d6"
"wit.27.3a47d","TR1","Landings",893.831024570357,"#6a3d9a"
"Nephrops","TR1","Landings",8866.1813951071,"#ffff99"
"bll.27.3a47de","TR2","Landings",49.83023,"#b15928"
"cod.27.46a7d20","TR2","Landings",1120.1211650875,"#a6cee3"
"had.27.46a20","TR2","Landings",2076.6982038365,"#1f78b4"
"ple.27.7d","TR2","Landings",458.5802835,"#b2df8a"
"ple.27.420","TR2","Landings",1935.6550428992,"#33a02c"
"pok.27.3a46","TR2","Landings",693.2428567373,"#fb9a99"
"sol.27.4","TR2","Landings",157.67733388,"#fdbf6f"
"sol.27.7d","TR2","Landings",463.44088,"#e31a1c"
"tur.27.4","TR2","Landings",152.4088096423,"#ff7f00"
"whg.27.47d","TR2","Landings",1912.3371464444,"#cab2d6"
"wit.27.3a47d","TR2","Landings",609.201711611,"#6a3d9a"
"Nephrops","TR2","Landings",11795.58373,"#ffff99"
"bll.27.3a47de","BT1","Landings",77.07482,"#b15928"
"cod.27.46a7d20","BT1","Landings",387.36743,"#a6cee3"
"had.27.46a20","BT1","Landings",258.98923,"#1f78b4"
"ple.27.420","BT1","Landings",4759.31537,"#33a02c"
"pok.27.3a46","BT1","Landings",12.08144,"#fb9a99"
"sol.27.4","BT1","Landings",26.70162,"#fdbf6f"
"tur.27.4","BT1","Landings",119.35255,"#ff7f00"
"whg.27.47d","BT1","Landings",13.69056,"#cab2d6"
"wit.27.3a47d","BT1","Landings",13.06644,"#6a3d9a"
"Nephrops","BT1","Landings",0.65,"#ffff99"
"bll.27.3a47de","BT2","Landings",277.52859,"#b15928"
"cod.27.46a7d20","BT2","Landings",59.27318,"#a6cee3"
"had.27.46a20","BT2","Landings",84.51232,"#1f78b4"
"ple.27.7d","BT2","Landings",468.868992,"#b2df8a"
"ple.27.420","BT2","Landings",6084.39304,"#33a02c"
"pok.27.3a46","BT2","Landings",0.0223,"#fb9a99"
"sol.27.4","BT2","Landings",4856.93841,"#fdbf6f"
"sol.27.7d","BT2","Landings",675.47831,"#e31a1c"
"tur.27.4","BT2","Landings",732.32215,"#ff7f00"
"whg.27.47d","BT2","Landings",229.61586,"#cab2d6"
"wit.27.3a47d","BT2","Landings",0.45599,"#6a3d9a"
"Nephrops","BT2","Landings",26.32962,"#ffff99"
"bll.27.3a47de","GN1","Landings",4.1805695179237,"#b15928"
"cod.27.46a7d20","GN1","Landings",1349.33963697473,"#a6cee3"
"had.27.46a20","GN1","Landings",43.6714933579955,"#1f78b4"
"ple.27.7d","GN1","Landings",62.321025,"#b2df8a"
"ple.27.420","GN1","Landings",1788.49030169363,"#33a02c"
"pok.27.3a46","GN1","Landings",2810.57568247575,"#fb9a99"
"sol.27.4","GN1","Landings",114.2813240577,"#fdbf6f"
"sol.27.7d","GN1","Landings",99.324,"#e31a1c"
"tur.27.4","GN1","Landings",217.050692968416,"#ff7f00"
"whg.27.47d","GN1","Landings",3.1076636354712,"#cab2d6"
"wit.27.3a47d","GN1","Landings",1.90044238894591,"#6a3d9a"
"Nephrops","GN1","Landings",0.04,"#ffff99"
"bll.27.3a47de","GT1","Landings",5.79102,"#b15928"
"cod.27.46a7d20","GT1","Landings",6.73376,"#a6cee3"
"had.27.46a20","GT1","Landings",0.004,"#1f78b4"
"ple.27.7d","GT1","Landings",61.8736235,"#b2df8a"
"ple.27.420","GT1","Landings",7.34987,"#33a02c"
"pok.27.3a46","GT1","Landings",0.134,"#fb9a99"
"sol.27.4","GT1","Landings",26.04325,"#fdbf6f"
"sol.27.7d","GT1","Landings",422.13299,"#e31a1c"
"tur.27.4","GT1","Landings",1.28423,"#ff7f00"
"whg.27.47d","GT1","Landings",0.8091,"#cab2d6"
"wit.27.3a47d","GT1","Landings",0.0719,"#6a3d9a"
"Nephrops","GT1","Landings",0.014,"#ffff99"
"cod.27.46a7d20","LL1","Landings",537.743231597681,"#a6cee3"
"had.27.46a20","LL1","Landings",52.593852882255,"#1f78b4"
"ple.27.420","LL1","Landings",4.4760821104,"#33a02c"
"pok.27.3a46","LL1","Landings",171.1605924011,"#fb9a99"
"tur.27.4","LL1","Landings",0.0022,"#ff7f00"
"whg.27.47d","LL1","Landings",0.304,"#cab2d6"
"wit.27.3a47d","LL1","Landings",0.4745902526,"#6a3d9a"
"Nephrops","LL1","Landings",0.018304347826087,"#ffff99"
"bll.27.3a47de","beam_oth","Landings",1.70288,"#b15928"
"cod.27.46a7d20","beam_oth","Landings",1.15733,"#a6cee3"
"had.27.46a20","beam_oth","Landings",1.44,"#1f78b4"
"ple.27.7d","beam_oth","Landings",0.3238,"#b2df8a"
"ple.27.420","beam_oth","Landings",20.5341,"#33a02c"
"sol.27.4","beam_oth","Landings",12.65819,"#fdbf6f"
"sol.27.7d","beam_oth","Landings",0.2714,"#e31a1c"
"tur.27.4","beam_oth","Landings",4.25349,"#ff7f00"
"whg.27.47d","beam_oth","Landings",41.29991,"#cab2d6"
"wit.27.3a47d","beam_oth","Landings",0.10625,"#6a3d9a"
"Nephrops","beam_oth","Landings",46.55,"#ffff99"
